REGIAO,NOME,SIGLA,ATIVO
S,RIO GRANDE DO SUL,RS,1
S,PARANÁ,PR,1
S,SANTA CATARINA,SC,1
SE,SÃO PAULO,SP,1
SE,RIO DE JANEIRO,RJ,1
SE,MINAS GERAIS,MG,1
SE,ESPÍRITO SANTO,ES,1
NE,ALAGOAS,AL,1
NE,BAHIA,BA,1
NE,CEARÁ,CE,1
NE,MARANHÃO,MA,1
NE,PARAÍBA,PB,1
NE,PERNAMBUCO,PE,1
NE,PIAUÍ,PI,1
NE,RIO GRANDE DO NORTE,RN,1
NE,SERGIPE,SE,1
CO,DISTRITO FEDERAL,DF,1
CO,GOIÁS,GO,1
CO,MATO GROSSO,MT,1
CO,MATO GROSSO DO SUL,MS,1                
N,AMAZONAS,AM,1
N,AMAPÁ,AP,1
N,PARÁ,PA,1
N,RONDÔNIA,RO,1
N,RORAIMA,RR,1
N,ACRE,AC,1
N,TOCANTINS,TO,1
			
